x y z
-1.254599 -3.968761 115.348649
4.507143 4.025529 102.513354
2.319939 0.052524 139.436912
0.986585 3.264575 117.791764
-3.439814 -1.799504 117.379037
-3.440055 3.955232 98.162623
-4.419164 -1.107983 105.307059
3.661761 -4.891623 109.041653
1.011150 4.053820 107.785627
2.080726 -4.087133 118.459585
-4.794155 -1.806864 101.332668
4.699099 4.500620 103.374893
3.324426 4.506071 101.349486
-2.876609 0.734379 118.644806
-3.181750 1.318372 111.572112
-3.165955 -0.515545 115.644166
-1.957578 -2.067892 129.153358
0.247564 -1.713355 144.248859
-0.680550 1.725185 129.547786
-2.087709 2.523745 111.729269
1.118529 2.915790 117.989523
-3.605061 2.896181 106.152988
-2.078554 -4.087939 112.184886
-1.336382 -0.055797 137.569192
-0.439300 -4.424412 115.237920
2.851760 0.495289 127.566435
-3.003262 -0.584695 115.432556
0.142344 3.877042 109.239222
0.924146 -1.490850 143.996482
-4.535496 -3.829330 105.257693
1.075449 -3.570083 127.081754
-3.294759 2.615106 108.050183
-4.349484 1.182181 104.349806
4.488855 -3.988773 107.087221
4.656320 -4.158932 113.903914
3.083973 2.009691 116.827254
-1.953862 -4.272370 112.231000
-4.023279 3.218601 99.823194
1.842330 2.062422 125.451548
-0.598475 -4.186512 116.952420
-3.779618 -4.151623 104.582530
-0.048231 4.866396 100.870256
-4.656115 -1.257292 105.656172
4.093204 -1.293579 115.736990
-2.412200 3.127996 106.179841
1.625223 4.472486 104.319053
-1.882889 4.860011 98.859784
0.200680 2.533782 127.382049
0.467103 -1.237404 142.262084
-3.151455 -4.164993 110.101205
4.695846 2.771469 107.288901
2.751328 0.584042 124.665326
4.394989 -0.757780 114.148579
3.948274 4.063544 101.522866
0.979000 -3.888025 117.790821
4.218742 -0.073749 114.292323
-4.115075 -4.886464 101.725540
-3.040171 -0.313394 123.822613
-4.547727 -4.436967 105.242144
-1.746697 -3.811821 118.485496
-1.113227 -3.824738 120.068053
-2.286510 1.492103 118.986728
3.287375 2.460449 111.304260
-1.432467 0.833688 136.047969
-2.190655 4.621725 97.321265
0.426961 -1.251294 148.957336
-3.590758 -2.142879 111.508468
3.021970 3.685991 105.230419
-4.254494 -2.764042 107.795534
4.868869 4.632225 100.865762
2.722448 -4.878455 110.160324
-3.012843 4.698788 100.019175
-4.944779 -4.568401 100.420920
3.154614 3.911431 105.698011
2.068573 0.277011 138.819659
2.290072 4.929648 100.535773
2.712703 -4.262034 114.012650
-4.259553 0.538543 104.565988
-1.415343 4.693025 102.908582
-3.841309 0.230978 110.760137
3.631034 1.293986 115.645710
1.232981 1.957487 131.686135
-1.691020 -0.454589 135.597993
-4.364416 1.275581 101.722828
-1.890177 0.843143 127.019713
-1.748167 4.011580 105.469954
2.296062 -4.545536 110.542907
1.375575 -2.190368 139.585290
3.872127 4.504115 96.851817
-0.277851 3.902638 112.082489
-3.804058 -0.443432 112.717743
2.132448 1.201326 130.879794
2.607850 -2.226188 125.363502
